Date,Open,High,Low,Close,Volume
02-01-2026,8677.0,8748.0,8665.0,8748.0,471863900
05-01-2026,8779.0,8859.0,8732.0,8859.0,665735100
06-01-2026,8891.0,8940.0,8839.0,8934.0,630432800
07-01-2026,8959.0,8971.0,8916.0,8945.0,655409500
08-01-2026,8947.0,9003.0,8918.0,8925.0,489316100
09-01-2026,8969.0,8981.0,8908.0,8937.0,499545200
12-01-2026,8992.0,9001.0,8715.0,8885.0,697907000
13-01-2026,8931.0,8957.0,8841.0,8948.0,538438100
14-01-2026,9007.0,9049.0,8980.0,9033.0,580700100
15-01-2026,9072.0,9101.0,9041.0,9075.0,446899000
19-01-2026,9099.0,9134.0,9026.0,9134.0,541550600
20-01-2026,9156.0,9174.0,9120.0,9135.0,606446200
21-01-2026,9094.0,9105.0,8978.0,9010.0,553244200
22-01-2026,9052.0,9110.0,8992.0,8992.0,661020800
23-01-2026,9031.0,9040.0,8838.0,8951.0,587299800
26-01-2026,8968.0,9058.0,8924.0,8975.0,491763600
27-01-2026,8975.0,8980.0,8873.0,8980.0,536008400
28-01-2026,8394.0,8596.0,8188.0,8321.0,557055000
29-01-2026,8028.0,8297.0,7482.0,8232.0,906233100
30-01-2026,8309.0,8408.0,8167.0,8330.0,478640200
02-02-2026,8306.0,8313.0,7820.0,7923.0,444961400
03-02-2026,7889.0,8123.0,7712.0,8123.0,545340400
04-02-2026,8121.0,8195.0,8050.0,8147.0,404556000
05-02-2026,8155.0,8214.0,8103.0,8104.0,323626200
06-02-2026,7945.0,8025.0,7862.0,7935.0,312234100
09-02-2026,7970.0,8032.0,7863.0,8032.0,310222600
10-02-2026,8032.0,8141.0,8011.0,8132.0,374472200
11-02-2026,8153.0,8291.0,8118.0,8291.0,545693700
12-02-2026,8317.0,8334.0,8220.0,8265.0,379401500
13-02-2026,8240.0,8252.0,8171.0,8212.0,434442400
18-02-2026,8236.0,8310.0,8227.0,8310.0,459026600
19-02-2026,8357.0,8376.0,8252.0,8274.0,435377400
20-02-2026,8300.0,8328.0,8237.0,8272.0,400251500
23-02-2026,8335.0,8397.0,8328.0,8396.0,443116900
24-02-2026,8428.0,8437.0,8259.0,8281.0,509728100
25-02-2026,8318.0,8373.0,8260.0,8322.0,441816300
26-02-2026,8351.0,8359.0,8140.0,8235.0,450264700
27-02-2026,8211.0,8247.0,8094.0,8235.0,441200100
02-03-2026,8093.0,8134.0,8017.0,8017.0,527702300
03-03-2026,8060.0,8098.0,7933.0,7940.0,396162400
04-03-2026,7896.0,7898.0,7486.0,7577.0,485472100
05-03-2026,7695.0,7766.0,7679.0,7711.0,303915000
06-03-2026,7699.0,7700.0,7500.0,7586.0,291110400
09-03-2026,7374.0,7404.0,7157.0,7337.0,406185700
10-03-2026,7443.0,7500.0,7373.0,7441.0,309617900
11-03-2026,7485.0,7527.0,7381.0,7389.0,253162500
12-03-2026,7399.0,7436.0,7324.0,7362.0,234355700
13-03-2026,7339.0,7350.0,7132.0,7137.0,256288700
16-03-2026,7115.0,7120.0,6917.0,7022.0,264167600
17-03-2026,7075.0,7148.0,7060.0,7107.0,226881800
25-03-2026,7085.0,7302.0,7057.0,7302.0,346637800
26-03-2026,7314.0,7324.0,7153.0,7164.0,257658000
27-03-2026,7136.0,7155.0,7070.0,7097.0,171896900
30-03-2026,7021.0,7105.0,6946.0,7092.0,221811800
31-03-2026,7123.0,7156.0,7031.0,7048.0,231095700
